DATE,DGS30
1991-09-01,7.9480000000000000
1991-10-01,7.9304545454545455
1991-11-01,7.9215789473684211
1991-12-01,7.7019047619047619
1992-01-01,7.5819047619047619
1992-02-01,7.8547368421052632
1992-03-01,7.9695454545454545
1992-04-01,7.9623809523809524
1992-05-01,7.8910000000000000
1992-06-01,7.8418181818181818
1992-07-01,7.5981818181818182
1992-08-01,7.3904761904761905
1992-09-01,7.3409523809523810
1992-10-01,7.5319047619047619
1992-11-01,7.6068421052631579
1992-12-01,7.4363636363636364
1993-01-01,7.3415789473684211
1993-02-01,7.0894736842105263
1993-03-01,6.8217391304347826
1993-04-01,6.8542857142857143
1993-05-01,6.9190000000000000
1993-06-01,6.8072727272727273
1993-07-01,6.6257142857142857
1993-08-01,6.3231818181818182
1993-09-01,5.9971428571428571
1993-10-01,5.9390000000000000
1993-11-01,6.2100000000000000
1993-12-01,6.2518181818181818
1994-01-01,6.2910000000000000
1994-02-01,6.4905263157894737
1994-03-01,6.9065217391304348
1994-04-01,7.2689473684210526
1994-05-01,7.4123809523809524
1994-06-01,7.3950000000000000
1994-07-01,7.5790000000000000
1994-08-01,7.4860869565217391
1994-09-01,7.7123809523809524
1994-10-01,7.9350000000000000
1994-11-01,8.0815000000000000
1994-12-01,7.8714285714285714
1995-01-01,7.8465000000000000
1995-02-01,7.6115789473684211
1995-03-01,7.4478260869565217
1995-04-01,7.3605263157894737
1995-05-01,6.9500000000000000
1995-06-01,6.5731818181818182
1995-07-01,6.7210000000000000
1995-08-01,6.8604347826086957
1995-09-01,6.5490000000000000
1995-10-01,6.3747619047619048
1995-11-01,6.2628571428571429
1995-12-01,6.0625000000000000
1996-01-01,6.0519047619047619
1996-02-01,6.2420000000000000
1996-03-01,6.6042857142857143
1996-04-01,6.7940909090909091
1996-05-01,6.9277272727272727
1996-06-01,7.0590000000000000
1996-07-01,7.0331818181818182
1996-08-01,6.8418181818181818
1996-09-01,7.0260000000000000
1996-10-01,6.8086363636363636
1996-11-01,6.4815789473684211
1996-12-01,6.5523809523809524
1997-01-01,6.8266666666666667
1997-02-01,6.6878947368421053
1997-03-01,6.9325000000000000
1997-04-01,7.0927272727272727
1997-05-01,6.9357142857142857
1997-06-01,6.7723809523809524
1997-07-01,6.5100000000000000
1997-08-01,6.5785714285714286
1997-09-01,6.4952380952380952
1997-10-01,6.3263636363636364
1997-11-01,6.1094444444444444
1997-12-01,5.9900000000000000
1998-01-01,5.8110000000000000
1998-02-01,5.8910526315789474
1998-03-01,5.9481818181818182
1998-04-01,5.9238095238095238
1998-05-01,5.9265000000000000
1998-06-01,5.7036363636363636
1998-07-01,5.6768181818181818
1998-08-01,5.5404761904761905
1998-09-01,5.2047619047619048
1998-10-01,5.0104761904761905
